Date : 2024-06-29 12:30:45
Directory : y:\RAMworkspace\F4Z_test
Total : 340 files,  29153 codes, 27966 comments, 12608 blanks, all 69727 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| C              |        336 |     28,408 |     27,860 |     12,441 |     68,709 |
| Assembler file |          1 |        398 |          0 |        111 |        509 |
| LinkerScript   |          2 |        264 |        106 |         55 |        425 |
| XML            |          1 |         83 |          0 |          1 |         84 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        340 |     29,153 |     27,966 |     12,608 |     69,727 |
| . (Files)                                                                                               |          7 |        613 |        251 |        110 |        974 |
| App_fxsh                                                                                                |         24 |      1,437 |        511 |        127 |      2,075 |
| App_fxsh\inc                                                                                            |          2 |        108 |         37 |         10 |        155 |
| App_fxsh\src                                                                                            |         22 |      1,329 |        474 |        117 |      1,920 |
| App_sd                                                                                                  |         28 |      1,504 |        888 |        225 |      2,617 |
| App_sd\inc                                                                                              |          5 |        112 |         77 |         29 |        218 |
| App_sd\src                                                                                              |         23 |      1,392 |        811 |        196 |      2,399 |
| Core                                                                                                    |         23 |      1,821 |      1,460 |        702 |      3,983 |
| Core\Inc                                                                                                |         10 |        393 |        397 |        204 |        994 |
| Core\Src                                                                                                |         12 |      1,030 |      1,063 |        387 |      2,480 |
| Core\Startup                                                                                            |          1 |        398 |          0 |        111 |        509 |
| FileX                                                                                                   |          5 |        218 |        387 |        216 |        821 |
| FileX\App                                                                                               |          3 |         92 |        230 |        106 |        428 |
| FileX\Target                                                                                            |          2 |        126 |        157 |        110 |        393 |
| Middlewares                                                                                             |        244 |     22,728 |     24,148 |     11,060 |     57,936 |
| Middlewares\ST                                                                                          |        244 |     22,728 |     24,148 |     11,060 |     57,936 |
| Middlewares\ST\filex                                                                                    |        244 |     22,728 |     24,148 |     11,060 |     57,936 |
| Middlewares\ST\filex\common                                                                             |        243 |     22,632 |     24,071 |     11,010 |     57,713 |
| Middlewares\ST\filex\common\drivers                                                                     |          1 |        261 |         71 |         80 |        412 |
| Middlewares\ST\filex\common\inc                                                                         |         10 |      1,579 |      1,058 |        667 |      3,304 |
| Middlewares\ST\filex\common\src                                                                         |        232 |     20,792 |     22,942 |     10,263 |     53,997 |
| Middlewares\ST\filex\ports                                                                              |          1 |         96 |         77 |         50 |        223 |
| Middlewares\ST\filex\ports\generic                                                                      |          1 |         96 |         77 |         50 |        223 |
| Middlewares\ST\filex\ports\generic\inc                                                                  |          1 |         96 |         77 |         50 |        223 |
| bsp                                                                                                     |          9 |        832 |        321 |        168 |      1,321 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| y:\RAMworkspace\F4Z_test\App_fxsh\inc\fxsh.h                                                            | C              |         19 |         14 |          2 |         35 |
| y:\RAMworkspace\F4Z_test\App_fxsh\inc\fxsh_api.h                                                        | C              |         89 |         23 |          8 |        120 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\fxsh.c                                                            | C              |        132 |         66 |         15 |        213 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_cmd_echo.c                                                     | C              |         79 |         22 |          6 |        107 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_cmd_help.c                                                     | C              |         64 |         22 |          4 |         90 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_cmd_history.c                                                  | C              |         37 |         17 |          3 |         57 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_cat.c                                                       | C              |         53 |         19 |          6 |         78 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_cd.c                                                        | C              |        123 |         27 |         11 |        161 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_check.c                                                     | C              |         16 |         17 |          2 |         35 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_date.c                                                      | C              |         87 |         17 |          4 |        108 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_deinit.c                                                    | C              |         27 |         17 |          2 |         46 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_df.c                                                        | C              |         70 |         18 |          5 |         93 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_find.c                                                      | C              |         24 |         17 |          7 |         48 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_format.c                                                    | C              |         44 |         18 |          2 |         64 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_init.c                                                      | C              |         48 |         17 |          6 |         71 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_ls.c                                                        | C              |         58 |         18 |          6 |         82 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_mkdir.c                                                     | C              |        107 |         27 |          8 |        142 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_mv.c                                                        | C              |         23 |         18 |          3 |         44 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_pwd.c                                                       | C              |         49 |         21 |          6 |         76 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_rm.c                                                        | C              |         72 |         21 |          6 |         99 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_test.c                                                      | C              |         27 |         17 |          1 |         45 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_time.c                                                      | C              |         87 |         17 |          4 |        108 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_touch.c                                                     | C              |         77 |         23 |          7 |        107 |
| y:\RAMworkspace\F4Z_test\App_fxsh\src\sh_fx_tree.c                                                      | C              |         25 |         18 |          3 |         46 |
| y:\RAMworkspace\F4Z_test\App_sd\inc\sd_api.h                                                            | C              |         46 |         17 |          6 |         69 |
| y:\RAMworkspace\F4Z_test\App_sd\inc\sd_com.h                                                            | C              |         15 |         15 |          6 |         36 |
| y:\RAMworkspace\F4Z_test\App_sd\inc\sd_dir.h                                                            | C              |         15 |         15 |          7 |         37 |
| y:\RAMworkspace\F4Z_test\App_sd\inc\sd_file.h                                                           | C              |         16 |         15 |          8 |         39 |
| y:\RAMworkspace\F4Z_test\App_sd\inc\sd_media.h                                                          | C              |         20 |         15 |          2 |         37 |
| y:\RAMworkspace\F4Z_test\App_sd\src\app_sd.c                                                            | C              |          5 |         17 |          2 |         24 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_com_delete.c                                                     | C              |        241 |         55 |         20 |        316 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_com_find.c                                                       | C              |        109 |         23 |         13 |        145 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_com_list.c                                                       | C              |        142 |         51 |         19 |        212 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_com_move.c                                                       | C              |         29 |         23 |          5 |         57 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_com_tree.1.c                                                     | C              |        160 |         37 |         19 |        216 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_com_tree.c                                                       | C              |          0 |        231 |         22 |        253 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_dir_create.c                                                     | C              |         21 |         17 |          2 |         40 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_dir_default.c                                                    | C              |         25 |         18 |          5 |         48 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_dir_exist.c                                                      | C              |          5 |         17 |          2 |         24 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_file_cat.c                                                       | C              |        102 |         24 |         14 |        140 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_file_create.c                                                    | C              |         23 |         17 |          2 |         42 |
| y:\RAMworkspace\F4Z_test\App_sd\src\sd_file_read.c                                                      | C              |         28 |         18 |          6 |         52 |
